"nombreVacante","empresa","ubicacion","sueldo","verificada","categoria","subcategoria","educacionMinima","contratacion","horario","espacioDeTrabajo","descripcion"
"Motor de Videojuegos Unity e Unreal Engine- Docente","Universidad del Valle ...","Cuauhtémoc,, CDMX","Sueldo no mostrado por la empresa",true,"Educación","Maestro - Docente - Profesor","Universitario titulado","Temporal","Medio tiempo","Presencial","UVM la universidad privada más grande de México está buscando tu talento.




Esta es tu oportunidad de hacer la diferencia siendo parte de una cultura de diversidad y colaboración buscamos talento para ser docente en Motor de Videojuegos Unity, Unreal Engine.




Zona de trabajo: Campus San Rafael




¿Qué escolaridad necesitas para aplicar a esta vacante?




-Maestría en Ingeniería en Tecnología Interactiva y Animación Digital; Animación Digital; Diseño y Animación Digital, Diseño Gráfico




Certificaciones deseables:




Se valorará contar con certificaciones en alguna de las siguientes herramientas:




Unreal Engine
Unity
Blender




Horario: Disponibilidad de hora Martes y Miércoles de 4 a 10 p.m.




¿Qué experiencia esperamos de ti?




·Experiencia como docente INDISPENSABLE




¿Qué funciones vas a desempeñar con nosotros?




·Acompañamiento académico integral




·Gestionar profesional del proceso enseñanza-aprendizaje




·Gestionar planes personalizados de estudio




·Orientar al estudiante mediante técnicas de estudio




¿Qué te Ofrecemos?




·$ Sueldo Competitivo




·Prestaciones de Ley




·Excelente Ambiente




¿Qué competencias buscamos en ti?




·Creatividad




·Orientación de servicio




·Pasión por la enseñanza




·Empatía




La compañía ofrece un excelente clima laboral en donde estamos tan enfocados en el bienestar de nuestros colaboradores como en el de nuestros estudiantes.




En este centro de trabajo queda prohibida la solicitud de certificados médicos de no embarazo y de VIH como requisito para el ingreso, permanencia o ascenso en el empleo."
"Asesor inmobiliario","UNITY PROPERTY GROUP","Zákia,, El Marqués,, Qro.","Sueldo no mostrado por la empresa",false,"Ventas","Ventas en general","Universitario sin titulo","Permanente","Tiempo completo","Presencial","Lugar de trabajo: Querétaro, Qro.

Tipo de puesto: Comisión 100% (sin sueldo base)

Área: Comercial / Ventas inmobiliarias







¿Tienes experiencia cerrando operaciones de venta o renta de locales comerciales?

¿Eres autónomo, te mantienes firme ante la presión y tienes enfoque claro a resultados?

En Unity Group buscamos asesores con perfil de cierre, visión estratégica y estabilidad emocional para integrarse a un equipo de alto desempeño comercial.







Lo que buscamos en ti:

Experiencia mínima de 2 años en ventas inmobiliarias (deseable en locales comerciales, arrendamientos o inversión)
Capacidad comprobable para cerrar operaciones y manejar objeciones
Excelente presentación, comunicación asertiva y trato profesional con inversionistas
Estabilidad emocional, enfoque positivo, tolerancia a la frustración
Disponibilidad de tiempo para cubrir guardias semanales en punto de venta.
Contar con herramientas propias (auto, celular, laptop)




Actividades:

Promoción de locales en plazas comerciales (venta y renta)
Atención a leads calificados y prospección
Coordinación de visitas y cierres
Seguimiento comercial vía CRM
Acompañamiento al cliente hasta la firma de contrato




Ofrecemos:

Esquema 100% comisionista (sin tope de ingresos)
Comisiones desde el 2% al 4% por operación
Desarrollo activo para venta de locales comerciales en la zona de Zakia.
Soporte legal y comercial
Ambiente profesional, enfocado en resultados reales




Deseable:

Conocimiento de contratos de arrendamiento, compraventa y aspectos legales del sector inmobiliario
Certificaciones en comercialización de bienes inmuebles o cursos en ventas, PNL, neuroventas o similares
Manejo de CRM y plataformas inmobiliarias.




¿Te apasiona vender, sabes cerrar y estás listo para un siguiente nivel en tu carrera comercial?

Postúlate hoy mismo.

Sólo se tomarán en cuenta perfiles con experiencia y enfoque claro a cierre."
"Data engineer","We Make AI","CDMX","$30,000 - $40,000 Mensual",false,"Tecnologías de la Información - Sistemas","Procesamiento de datos","Universitario titulado","Permanente","Tiempo completo","Híbrido","DATA ENGINEER

INFORMACIÓN GENERAL

Puesto: Data Engineer Departamento: Engineering Ubicación: REMOTO Tipo de contrato: Tiempo Completo Nivel: Mid-Senior Level

DESCRIPCIÓN DEL PUESTO

Buscamos un Data Engineer experimentado para unirse a nuestro equipo de Engineering. El candidato ideal será responsable de diseñar, desarrollar y mantener pipelines de datos escalables utilizando tecnologías de vanguardia como Databricks y Snowflake. Trabajará en un entorno 100% remoto, colaborando estrechamente con científicos de datos, analistas y ingenieros de software para crear soluciones de datos robustas y eficientes que impulsen la toma de decisiones basada en datos en toda la organización.

RESPONSABILIDADES PRINCIPALES

Desarrollo de Pipelines de Datos

? Diseñar, desarrollar y mantener pipelines ETL/ELT escalables utilizando Databricks (PySpark, Spark SQL) y Snowflake

? Implementar soluciones de procesamiento de datos a gran escala que sean eficientes y confiables

? Automatizar procesos de ingesta, transformación y carga de datos




Integración de Datos

? Conectar e integrar datos estructurados y no estructurados desde diversas fuentes (APIs, bases de datos, almacenamiento en la nube, etc.)

? Establecer conexiones robustas entre sistemas heterogéneos

? Garantizar la consistencia y calidad de datos durante el proceso de integración




Optimización de Performance

? Optimizar consultas de Snowflake, trabajos de Databricks y performance de Spark para asegurar eficiencia de costos y escalabilidad







? Implementar mejores prácticas para el rendimiento de sistemas de big data

? Monitorear y ajustar configuraciones para maximizar el throughput




Modelado de Datos

? Implementar modelos de datos dimensionales y relacionales para soportar análisis y reportes

? Diseñar esquemas de datos que faciliten el acceso y la comprensión por parte de usuarios finales

? Mantener la integridad referencial y optimizar estructuras de datos




Governance y Cumplimiento

? Asegurar la calidad, integridad, seguridad y cumplimiento de datos con estándares de la industria (GDPR, HIPAA, etc.)

? Implementar controles de acceso y políticas de seguridad de datos

? Establecer procesos de validación y auditoría de datos




Automatización y CI/CD

? Implementar frameworks de orquestación utilizando Airflow, dbt, o herramientas similares para automatizar workflows

? Desarrollar y mantener pipelines de CI/CD para proyectos de ingeniería de datos

? Crear procesos automatizados de testing y deployment




Colaboración Interdisciplinaria

? Trabajar estrechamente con científicos de datos, analistas y ingenieros de software para desarrollar e implementar soluciones basadas en datos

? Traducir requerimientos de negocio en soluciones técnicas eficientes

? Proporcionar soporte técnico especializado a equipos de analytics




Monitoreo y Troubleshooting

? Monitorear pipelines de datos, diagnosticar problemas e implementar soluciones para prevenir fallas

? Establecer sistemas de alertas y métricas de rendimiento

? Realizar análisis de causa raíz y implementar mejoras preventivas




REQUERIMIENTOS TÉCNICOS OBLIGATORIOS

Experiencia Core




? 3+ años de experiencia en ingeniería de datos, desarrollo ETL, o procesamiento de big data

? Experiencia sólida con Databricks (Spark, PySpark, Scala, SQL) para procesamiento de datos a gran escala

? Expertise en Snowflake: data warehousing, SnowSQL, performance tuning y optimización




Lenguajes de Programación

? SQL - Nivel avanzado para transformación de datos y consultas complejas

? Python - Nivel avanzado para automatización y desarrollo de pipelines

? PySpark/Scala - Para procesamiento distribuido en Databricks




Herramientas de Orquestación

? Apache Airflow, dbt, o Prefect - Experiencia práctica en implementación de workflows automatizados

? Conocimiento de mejores prácticas en scheduling y dependency management




Plataformas Cloud

? AWS, Azure, o GCP - Experiencia hands-on con servicios cloud. Preferente GCP

? Almacenamiento cloud (S3, ADLS, GCS) - Manejo de datos en diferentes formatos y estructuras

? Comprensión de arquitecturas cloud-native y serverless




DevOps y Versionado

? Pipelines CI/CD - Experiencia en automatización de deployment

? Git - Control de versiones y colaboración en equipo

? Prácticas DevOps aplicadas a proyectos de ingeniería de datos




Governance y Seguridad

? Data governance - Implementación de políticas y procedimientos

? Mejores prácticas de seguridad y protección de datos sensibles

? Requerimientos de compliance (GDPR, HIPAA, etc.)




CALIFICACIONES PREFERIDAS (NICE TO HAVE)

Tecnologías Avanzadas

? Delta Lake, Unity Catalog, o Iceberg para arquitecturas lakehouse







? Kafka, Kinesis, o Pub/Sub para procesamiento de datos en tiempo real

? Terraform o CloudFormation para infraestructura como código (IaC)




Certificaciones Deseables (no necesariamente)

? Databricks Certified Data Engineer

? SnowPro Core o Advanced de Snowflake

? Certificaciones cloud (AWS Data Engineer, Azure Data Engineer, GCP Professional Data Engineer)




REQUERIMIENTOS ACADÉMICOS

Educación Mínima

? Licenciatura en Ingeniería en Sistemas, Ciencias de la Computación, Ingeniería de Software, Matemáticas, Estadística o carrera técnica afín

? Maestría en Data Science, Data Engineering, Analytics o áreas relacionadas (Deseable)




Experiencia Profesional

? Mínimo 3+ años de experiencia específica en ingeniería de datos o desarrollo ETL

? Experiencia comprobable con Databricks y Snowflake en entornos de producción

? Historial exitoso implementando soluciones de big data a escala empresarial




HABILIDADES Y CUALIDADES ESENCIALES

Habilidades Técnicas Avanzadas

? Optimización de performance: Capacidad demostrada para mejorar eficiencia de sistemas de datos

? Arquitectura de datos: Comprensión profunda de patrones de diseño y mejores prácticas

? Troubleshooting: Habilidades excepcionales para diagnosticar y resolver problemas complejos

? Automatización: Experiencia creando procesos autónomos y confiables




Habilidades Analíticas

? Pensamiento sistemático: Capacidad para diseñar soluciones escalables y mantenibles







? Resolución de problemas: Enfoque metodológico para abordar desafíos técnicos complejos

? Optimización: Mentalidad orientada a la eficiencia y mejora continua

? Atención al detalle: Precisión en el manejo de datos críticos del negocio




Habilidades de Comunicación

? Comunicación técnica: Capacidad para explicar conceptos complejos de manera clara

? Colaboración remota: Experiencia trabajando efectivamente en equipos distribuidos

? Documentación: Habilidades para crear documentación técnica comprensible

? Inglés técnico: Nivel conversacional para colaboración internacional (preferible)




Cualidades Personales

? Autodisciplina: Capacidad para trabajar de manera independiente en entorno remoto

? Proactividad: Iniciativa para identificar y resolver problemas antes de que escalen

? Adaptabilidad: Flexibilidad para trabajar con tecnologías emergentes y cambios de prioridades

? Orientación a la calidad: Compromiso con la excelencia en entregables y procesos

? Aprendizaje continuo: Pasión por mantenerse actualizado con las últimas tecnologías y tendencias

? Mentalidad colaborativa: Habilidad para trabajar efectivamente en equipos multidisciplinarios




COMPETENCIAS

Competencias Técnicas

? Dominio de ecosistemas Databricks y Snowflake

? Experiencia en arquitecturas de datos modernas (Data Lakes, Data Warehouses, Lakehouses)

? Conocimiento profundo de optimización de costos en plataformas cloud

? Comprensión de principios de data governance y compliance




Competencias de Negocio

? Capacidad para traducir requerimientos de negocio en soluciones técnicas

? Comprensión del impacto de las decisiones técnicas en objetivos organizacionales

? Habilidad para priorizar tareas basándose en valor de negocio"
"Reliabilty Engineer","THE BRIDGE TALENTS MEX...","Ciudad Juárez,, Lerdo,, Dgo.","$55,000 - $70,000 Mensual",true,"Ingeniería","Ingeniero","Universitario titulado","Permanente","Tiempo completo","Presencial","Solvay is all about chemistry. We're not just referring to chemical reactions here, but also to the magic that occurs when the brightest minds get to work together. This is where our true strength lies. In you. In your future colleagues and in all your differences. And of course, in your ideas to improve lives while preserving our planet's beauty for the generations to come.

Important note: We offer relocation support to Ciudad Juárez. For more information on our benefits and salary, please refer to the footer of this job description.

About The Role

Our Maintenance team, composed of 22 people, is integrated in the Ciudad Juárez Maintenance department and focuses on providing up-to-standard maintenance to production and associated activities in order to assure the long-term sustainability (availability and reliability of the installation) and efficiency (capacity of utilization, quality and cost of the product) of the process in collaboration with Production team.
As a Reliability Engineer, you will work on developing a formalized reliability program to ensure plant equipment is operating with a high degree of reliability to meet production, quality, and cost goals to support our company's success. You will get the opportunity to contribute to achieving equipment availability goals by analyzing equipment data and implementing measures to eliminate failures and have a positive impact on our process and people.



You will be accountable for:

Drive reliability by identifying, scoping, and executing selected projects and studies, including engineering activities from inception to mechanical completion and project commissioning and maximizing plant OEE.
Develop, maintain, and coordinate management of the Preventive Maintenance and Predictive Maintenance program, including inspection procedures, frequencies, employee training, quality control, deficiency mitigation, auditing, and record management.
Maintain the Mechanical Integrity (MI) program and documentation to ensure compliance with Solvay and regulatory standards.
Analyze and propose solutions to “Bad Actors” for repeat failures, cost, etc.
Work closely with Production, Safety, and Quality personnel to provide technical support and as needed in daily equipment troubleshooting.
We offer a permanent contract (with a 3 month probation period) based on fixed shift and onsite working mode.



About You

Relevant education degree or equivalent in Bachelor's degree in industrial, electrical or mechanical engineering.
Relevant work experience in more than 5 years in chemical industry, Mechanical and electrical knowledge of chemical operation equipment, and Root Cause Analysis methods.



Competencies:

Project management
Leadership and communication skills
English B2



Behaviors:

Prioritize based on impact and value creation
Agility and transparency
Make it happen



About The Pay And Benefits

Attractive and equitable pay for all: compensation is determined within a range to foster your development in the role. While the México base pay reasonably expected for this role expected for this role goes from $55,000 to $70,000 MXN pesos, your salary may ultimately be higher based on your skills and experience. Additionally, we provide a competitive total rewards package that includes a bonus and/or other incentives.
Solvay Cares program: minimum of 16 weeks of parenting leave for all employees and package with healthcare, disability and life insurance coverage.
Prioritization of well-being: Solvay Solidarity Fund to support employees through hardship, work-life balance promotion, flexible approach to work part-time or hybrid work arrangements (depending on the type of job), employee assistance program with access to physical and psychological support.
Professional development: prioritization of internal talents for career progression, access to a training platform, opportunities to join Employee Resource Groups (ERG) for experience sharing and mentorship and free language courses in 24 languages.



About Us

While we have identified potential internal profiles for this role, we are committed to a fair and inclusive selection process. In order to comprehensively evaluate all qualified internal people, we are actively encouraging applications for this position.
Solvay, a pioneering chemical company with a legacy rooted in founder Ernest Solvay's pivotal innovations in the soda ash process, is dedicated to delivering essential solutions globally through its workforce of over 9,000 employees. Since 1863, Solvay harnesses the power of chemistry to create innovative, sustainable solutions that answer the world's most essential needs such as purifying the air we breathe and the water we drink, preserving our food supplies, protecting our health and well-being, creating eco-friendly clothing, making the tires of our cars more sustainable and cleaning and protecting our homes. As a world-leading company with €4.9 billion in net sales in 2023 and listings on Euronext Brussels and Paris (SOLB), its unwavering commitment drives the transition to a carbon-neutral future by 2050, underscoring its dedication to sustainability and a fair and just transition.
At Solvay, we seek to promote unity and not uniformity. We value the diversity that individuals bring and we invite you to consider a future with us, regardless of background, age, gender, national origin, ethnicity, religion, sexual orientation, ability or identity. We encourage individuals who may require any assistance or accommodations to let us know to ensure a seamless application experience. We are here to support you throughout the application journey and want to ensure all candidates are treated equally. If you are unsure whether you meet all the criteria or qualifications listed in the job description, we still encourage you to apply."
"Databricks Developer","La empresa es confidencial o no se encuentra disponible","CDMX","Sueldo no mostrado por la empresa",true,"Tecnologías de la Información - Sistemas","Procesamiento de datos","Técnico","Permanente","Tiempo completo","Híbrido","We're hiring!

At Cognizant we have an ideal opportunity for you to be part of one of the largest companies in the digital sector worldwide. A Great Place To Work where we look for people who contribute new ideas, experiencing a dynamic and growing environment. At Cognizant we promote an inclusive culture, where we value different perspectives providing career growth and development opportunities. #WelcomeToCognizant!

We have an exciting opportunity for an exceptional individual to work supporting one of our client




Responsibilities

Develop and optimize data workflows using Spark in Scala to ensure efficient data processing and analysis.
Implement and manage Databricks Unity Catalog Admin to maintain data governance and security.
Utilize Apache Airflow to orchestrate complex data pipelines and automate workflows.
Integrate and manage data storage solutions using Amazon S3 and Amazon Redshift for scalable data management.
Collaborate with cross-functional teams to design and implement data solutions that meet business requirements.
Write and maintain Python scripts to automate data processing tasks and enhance system functionality.
Leverage Databricks SQL to perform complex queries and data transformations for insightful analytics.
Implement Databricks Delta Lake to ensure data reliability and consistency across various platforms.
Design and execute Databricks Workflows to streamline data operations and improve efficiency.
Utilize PySpark to process large datasets and extract meaningful insights for decision-making.
Ensure data quality and integrity through rigorous testing and validation processes.
Provide technical support and guidance to team members to foster a collaborative work environment.
Contribute to the continuous improvement of data processes and methodologies to enhance overall performance.

Qualifications

Possess strong expertise in Spark in Scala and Databricks Unity Catalog Admin.
Demonstrate proficiency in Apache Airflow and Amazon S3 for data orchestration and storage.
Have experience with Amazon Redshift and Python for data management and automation.
Show capability in using Databricks SQL and Delta Lake for data analysis and reliability.
Exhibit skills in designing Databricks Workflows and utilizing PySpark for data processing




Why Cognizant?

Improve your career in one of the largest and fastest growing IT services providers worldwide

Receive ongoing support and funding with training and development plans

Have a highly competitive benefits and salary package

Get the opportunity to work for leading global companies

We are committed to respecting human rights and build a better future by helping your minds and the environment

We invest in people and their wellbeing.

We create conditions for everyone to thrive. We do not discriminate based on race, religion, color, sex, age, disability, nationality, sexual orientation, gender identity or expression, or for any other reason covered.

At Cognizant we believe than our culture make us stronger!

Join us now!

#BeCognizant #IntuitionEngineered




Igualdad de Empleo y Política de Acción Afirmativa:

Cognizant es un empleador que ofrece igualdad de oportunidades. Todos los solicitantes calificados recibirán consideración para el empleo sin distinción de sexo, identidad de género, orientación sexual, raza, color, religión, origen nacional, discapacidad, estado de veterano protegido, edad o cualquier otra característica protegida por la ley."
"Site Reliability Engineer (DevOps Engineer)","La empresa es confidencial o no se encuentra disponible","Guadalajara [Technology Park],, Zapopan,, Jal.","Sueldo no mostrado por la empresa",true,"Ingeniería","Robótica- Mecatrónica - Nanotecnología","Universitario sin titulo","Permanente","Tiempo completo","Presencial","Site Reliability Engineer (DevOps Engineer)




ABOUT THE ROLE

This is an exciting opportunity to work with R&D teams designing & building software-defined automation solutions for modern factories. Our integrated solution consists of both on-prem infrastructure like full network stack (with switches, routers, firewalling) and Cloud-native software applications running on-prem and in the Cloud to operate and monitor the robotic assembly lines.

DevOps Engineer designs, builds & manages scalable & secure infrastructure, CI/CD pipelines and tools to enable fast-paced development of mission-critical & complex industrial automation applications.

You will work directly with R&D, Software Engineering, and IT teams to build and deploy reliable infrastructure, CI/CD pipelines, and tooling. Our software is designed to be cloud native with the ability to deploy both on-cloud and on-prem infrastructure. Your expertise will be pivotal in developing and operating our stack, which includes:

• AWS and Azure as Cloud providers

• Kubernetes

• GitLab CI/CD and GitOps practices

• On-prem hardware (bare metal hypervisors, network equipment)




WHAT YOU WILL BE DOING

• Implement and manage scalable, reliable, and secure infrastructure for running applications and automation systems.

• Automate infrastructure provisioning, configuration management and deployment processes using tools like Ansible, and Kubernetes.

• Develop and maintain CI/CD pipelines to ensure efficient and continuou.




WHAT WE WANT TO SEE

• B.S. or M.S. degree (or equivalent) in Computer Science, Engineering, Mathematics, or a related field

• 2+ years of experience in DevOps role.

• Proficiency in a variety of modern programming languages (Python, Javascript, C#, Go, etc)

• Networking experience

• Experience with CI/CD tools and GitOps methodologies.

• Experienced writing code in Shell

• Expertise in public cloud platforms such as AWS, Azure or Google Cloud.

• Experience with configuration management tools (Ansible)

• Proficiency in Docker, Kubernetes & containerization tools.

• Experience with observability tools (Prometheus/Grafana).




WHAT WE WOULD LIKE TO SEE

• Experience with on-prem hardware provisioning

• Experience with MLOps and DevSecOps

• Experience supporting a developer base on MacOS and Windows, in addition to Linux




WHO YOU ARE

• You are customer obsessed

• You drive for results, and act like an owner

• You believe in the power of a team, diversity of thought, and unity of action

• You always act with integrity, keep your commitments, and practice transparency

• You think boldly, lead with courage, and demand the highest standards




*Posiciòn en sitio, Technology Park, Carretera a Nogales

Se busca nivel Sr. (5 años de experiencia) y Middle (2 años de experiencia)

Giro:

Automatizacion y control.

Experiencia en PLC, Robots, y sistemas de inspección.

Habilidades en al menos dos lenguajes de programación como: texto estructurado, y c#.

Bases en el área automotriz.

Experiencia en pruebas con el cliente tales como FAT & SAT

Ingles necesario conversacional

Disponibilidad para viajar."
"Desarrollador Unity","Asesores y Consultores...","Culiacán,, Sin.","$20,000 - $25,000 Mensual",true,"Tecnologías de la Información - Sistemas","Desarrollo web","Universitario titulado","Permanente","Tiempo completo","Presencial","Empresa importante en giro de la Tecnología solicita:




Desarrollador Unity




Objetivo del puesto:

El Desarrollador Unity será responsable del diseño, implementación, optimización y mantenimiento de sistemas dentro de entornos de Unity, específicamente en la creación de soluciones para aplicaciones y sistemas interactivos.




Requisitos

Escolaridad: Ingeniería en Sistemas, ciencias de la computación o campos a fines.
Facilidad de traslado a zona: Loma linda, Culiacán. Sinaloa




Experiencia (deseable)

Experiencia en el desarrollo de sistemas dentro de Unity
Experiencia en desarrollo de aplicaciones interactivas, juegos o sistemas web
Experiencia en Unity web GL




Actividades

Diseñar, implementar y mantener sistemas escalables y eficientes dentro de unity
Proponer nuevas tecnologías, metodologías y procesos que mejoren la calidad del desarrollo.
Optimizar el rendimiento de los sistemas asegurando la mayor eficiencia en cuanto a recursos.




Habilidades/ Aptitudes

Analítico
Proactivo y buena actitud.
Trabajo en equipo
Comunicación asertiva
Capacidad para trabajar bajo presión




Conocimientos (Deseables)




Dominio avanzado de Unity3D, C# y el uso de sus herramientas y bibliotecas.
Conocimiento profundo de la arquitectura de software y patrones de diseño aplicados a juegos y sistemas.
Conocimiento en el manejo de API RESTful




Ofrecemos

Contrato directo con la empresa
Prestaciones superiores a la ley
Horario L-V de 8:30 am a 6:30 pm
Oportunidad de crecimiento y capacitación constante




¡Forma parte de este gran equipo de trabajo!"
"Asesor de arrendamiento","UNITY PROPERTY GROUP","Zákia,, El Marqués,, Qro.","Sueldo no mostrado por la empresa",false,"Ventas","Asesoría comercial","Universitario sin titulo","Permanente","Tiempo completo","Desde casa","En Unity Group estamos en búsqueda de un(a) Asesor(a) de Rentas Comerciales con experiencia, excelente actitud, facilidad de palabra y habilidades de negociación. Serás responsable de promover, negociar y cerrar arrendamientos de espacios dentro de nuestra plaza comercial ubicada en una de las zonas de gran crecimiento en la ciudad: Zakia.







REQUISITOS

Experiencia mínima de 1 año en: renta de espacios comerciales, retail o inmobiliario corporativo.
Prospección directa a marcas, áreas de expansión y tomadores de decisión.
Negociación de condiciones comerciales y seguimiento de leads.
Conocimiento medio en contratos de arrendamiento comercial.
Habilidad para comunicarse con claridad, empatía y profesionalismo.
Excelente presentación.
Alto nivel de compromiso, autogestión y seguimiento puntual.
Capacidad de trabajar bajo presión manteniendo la neutralidad y el enfoque.
Disponibilidad de tiempo para realizar recorridos con clientes potenciales a la plaza ubicada en Zakia-Zizana

PRINCIPALES FUNCIONES

Prospección y contacto directo con marcas locales y nacionales.
Presentación de espacios disponibles para renta en plazas comerciales.
Atención a leads asignados por la empresa.
Seguimiento efectivo a leads desde el primer contacto hasta el cierre.
Negociación de términos y condiciones de arrendamiento.
Coordinación con área legal y administrativa para cierre de contratos.
Visitas a inmuebles y atención personalizada a clientes.

OFRECEMOS

Esquema de comisiones por contrato de arrendamiento efectivamente cerrado.
Trabajo remoto: trabaja desde dónde quieras
Excelente ambiente de trabajo.
Leads de la empresa para sumar a tu prospección.
Oportunidad de desarrollo en empresa en expansión.
Trabajo dinámico y retador.



?? ¿Listo(a) para llevar marcas al lugar correcto y crecer con nosotros?

Postúlate por este medio."
"Ingeniero de Mejora de procesos VR (Realidad Virtual)","Psicofarma","Toluca,, Edo. Méx.​","Sueldo no mostrado por la empresa",true,"Tecnologías de la Información - Sistemas","Desarrollo de software - Programador","Universitario titulado","Permanente","Tiempo completo","Presencial","En Psicofarma, laboratorio mexicano líder en la industria farmacéutica, seguimos innovando y buscamos talento con visión tecnológica para transformar nuestros procesos.




Súmate como: Ingeniero de Mejora de Procesos – Enfoque en Realidad Virtual (VR)




Ubicación: Toluca

Modalidad: Presencial

Horario: Tiempo completo




Responsabilidades:?

• Desarrollar e implementar soluciones de mejora continua utilizando tecnologías de realidad virtual (VR)

• Diseñar simulaciones virtuales orientadas a capacitación, optimización de procesos y seguridad operativa

• Colaborar con áreas de Producción, Calidad e Ingeniería para aplicar VR en proyectos clave

• Evaluar procesos operativos y proponer mejoras apoyadas en modelación visual e inmersiva

• Apoyar en análisis de datos, documentación técnica y seguimiento a indicadores de eficiencia

• Estar al tanto de nuevas herramientas VR y proponer su integración en operaciones o entrenamiento




Requisitos:




• Ingeniería Industrial, Mecatrónica, de Procesos, Sistemas o carrera afín

• Experiencia comprobable en uso de realidad virtual aplicada a entornos industriales

• Conocimientos en software de modelado o simulación (Unity, Unreal Engine, Blender, etc.)

• Familiaridad con herramientas de mejora de procesos (Lean, Six Sigma, Kaizen)

• Enfoque creativo, capacidad de análisis y comunicación técnica efectiva

• Deseable experiencia en industria farmacéutica o altamente regulada




Prestaciones y beneficios adicionales:

• Contratación directa

• Prestaciones superiores a la ley

• Vales de despensa

• Fondo de ahorro

• Comedor subsidiado

• Estacionamiento

• Participación en proyectos de innovación tecnológica con impacto real"
"Storage Specialist // Inglés Conversacional","La empresa es confidencial o no se encuentra disponible","Querétaro,, Qro.","Sueldo no mostrado por la empresa",true,"Tecnologías de la Información - Sistemas","Infraestructura","Universitario sin titulo","Permanente","Tiempo completo","Híbrido","Tenemos una posición como Storage Specialist para Queretaro / hibrido / Inglés Fluido.




*Si perteneces a otro Estado de la república damos apoyo de reubicación.




Inglés Fluido

Experiencia de por lo menos 5 años trabajando en soluciones de almacenamiento: Dell, Netapp, IBM, Hitachi, HP, Pure Storage.

• Conocimiento en tecnologias cloud storage

• Experiencia en sistemas operativos Windows y Linux en entornos de almacenamiento.

• Experiencia en tecnologias de virtualizacion VMware.

• Capacidad para optimizar rendimiento y disponibilidad de datos

• Skills:

Dell: Unity, Data domain, PowerMax, Power Store, ECS.

Pure Storage

IBM: ESS ""GPFS"", Flash Systems, SVC, Storage Control.

Hitachi: HNAS, VSP, HCP, Ops Center

Broadcom: Swiches SAN

CISCO: Switches SAN

Netapp: OTS y Appliance

Scality S3

Oracle: ZFS




Prestaciones superiores

Contrato Directo

Cursos certificados"
